model,avg_speedup,median_speedup,pct_faster_than_ref,avg_read_rows_ratio
claude-opus-4,1.0640055555555556,1.0,33.33333333333333,1.0000418526785715
claude-opus-4.6,0.9856888888888888,1.0,27.77777777777778,1.0000418526785715
claude-sonnet-4.5,1.0532903225806451,1.0,25.806451612903224,1.000048828125
deepseek-v3.2,1.002751612903226,1.0,25.806451612903224,1.0
gemini-3-flash,1.1275548387096774,1.0,35.483870967741936,1.000048828125
gpt-5.2,1.0783466666666668,1.0,13.333333333333334,1.0686713929731326
kimi-k2.5,0.9988935483870969,1.0,22.58064516129032,1.0
minimax-m2.5,1.0788933333333333,1.0,23.333333333333332,1.0
